#"Status","Id","Parent","LatinName","UsEnglish","Translation","Synonyms"
"N","260331","0","cellulae dopaminergicae nuclei arcuati [A12]","dopaminergic cells in arcuate nucleus [A12]","",""
"N","260344","0","cellulae dopaminergicae zonae incertae [A13]","dopaminergic cells in zona incerta [A13]","",""
"N","260353","0","cellulae dopaminergicae hypothalami anteromedialis [A14]","dopaminergic cells in medial zone and anterior area of hypothalamus [A14]","",""
"N","260366","0","cellulae dopaminergicae bulbi olfactorii [A15]","dopaminergic cells in olfactory bulb [A15]","",""
"N","260377","0","cellulae serotoninergicae nuclei pallidi raphes [B1]","serotoninergic cells in pallidal raphe nucleus [B1]","",""
"N","260389","0","cellulae serotoninergicae nuclei obscuri raphes [B2]","serotoninergic cells in obscurus raphe nucleus [B2]","",""
"N","260390","0","cellulae serotoninergicae nuclei magni raphes [B3]","serotoninergic cells in magnus raphe nucleus [B3]","",""
"N","260408","0","cellulae serotoninergicae areae vestibularis [B4]","serotoninergic cells adjacent to medial vestibular nucleus and prepositus nucleus [B4]","",""
"N","260419","0","cellulae serotoninergicae nuclei raphes pontis [B5]","serotoninergic cells in pontine raphe nucleus [B5]","",""
"N","260424","0","cellulae serotoninergicae nuclei mediani raphes [B6]","serotoninergic cells in median raphe nucleus [B6]","",""
"N","260435","0","cellulae serotoninergicae nuclei posterioris raphes [B7]","serotoninergic cells in dorsal raphe nucleus [B7]","",""
"N","260443","0","cellulae adrenergicae myelencephali [C1, C2]","adrenergic cells in area postrema and anterior reticular nucleus","",""
"N","260456","0","cellulae cholinergicae","cholinergic cells","",""
"N","260462","0","cellulae cholinergicae nuclei septi medialis [Ch1]","cholinergic cells of medial septal nuclei [Ch1]","",""
"N","260470","0","cellulae cholinergicae aggregationis secundae partis basalis telencephali [Ch2]","cholinergic cells of globus pallidus, accumbens nucleus and diagonal gyrus [Ch2]","",""
"N","260481","0","cellulae cholinergicae aggregationis tertiae partis basalis telencephali [Ch3]","cholinergic cells of globus pallidus, accumbens nucleus and diagonal band [Ch3]","",""
"N","260497","0","cellulae cholinergicae aggregationis quartae partis basalis telencephali [Ch4]","cholinergic cells of substantia innominata, basal nucleus, amygdaloid body and olfactory tubercle [Ch4]","",""
"N","260504","0","cellulae cholinergicae areae tegmentalis dorsalis [Ch5, Ch6, Ch8]","cholinergic cells of dorsal tegmental area [Ch5, Ch6, Ch8]","",""
"N","260512","0","cellulae cholinergicae epithalamicae [Ch7]","cholinergic cells of epithalamus [Ch7]","",""
