#"Status","Id","Parent","LatinName","UsEnglish","Translation","Synonyms"
"N","262360","0","intumescentia tympanica","tympanic enlargement","",""
"N","262371","0","plexus tympanicus","tympanic plexus","",""
"N","262383","0","r. tubarius","tubal branch","",""
"N","262394","0","nn. caroticotympanici","caroticotympanic nerves","",""
"N","262409","0","r. communicans vagoauricularis","communicating branch with auricular branch of vagus nerve","",""
"N","262414","0","rr. pharyngei","pharyngeal branches","",""
"N","262423","0","r. musculi stylopharyngei","stylopharyngeal branch","",""
"N","262438","0","r. sinus carotici","carotid branch","",""
"N","262446","0","rr. tonsillares","tonsillar branches","",""
"N","262451","0","rr. linguales","lingual branches","",""
"N","262467","0","n. petrosus minor","lesser petrosal nerve","",""
"N","262472","0","r. communicans vagomeningeus","communicating branch with meningeal branch of vagus nerve","",""
"N","262480","0","r. communicans auriculotemporalis","communicating branch with auriculotemporal nerve","",""
"N","262495","0","r. communicans chordae tympani","communicating branch with chorda tympani","",""
"N","262508","0","nervus vagus [X]","vagus nerve [X]","",""
"N","262519","0","ganglion superius","superior ganglion","",""
"N","262524","0","r. meningeus","meningeal branch","",""
"N","262535","0","r. auricularis","auricular branch","",""
"N","262543","0","ganglion inferius","inferior ganglion","",""
"N","262556","0","r. pharyngeus","pharyngeal branch","",""
"N","262562","0","plexus pharyngeus","pharyngeal plexus","",""
"N","262570","0","n. laryngeus superior","superior laryngeal nerve","",""
"N","262581","0","r. externus","external branch","",""
"N","262597","0","r. internus","internal branch","",""
"N","262607","0","r. communicans laryngeus recurrens","communicating branch with recurrent laryngeal nerve","",""
"N","262610","0","rr. cardiaci cervicales superiores","superior cervical cardiac branches","",""
"N","262629","0","rr. cardiaci cervicales inferiores","inferior cervical cardiac branches","",""
"N","262632","0","n. laryngeus recurrens","recurrent laryngeal nerve","",""
"N","262641","0","rr. tracheales","tracheal branches","",""
"N","262655","0","rr. oesophagei","oesophageal branches","",""
"N","262664","0","rr. pharyngei","pharyngeal branches","",""
"N","262678","0","rr. cardiaci thoracici","thoracic cardiac branches","",""
"N","262686","0","rr. bronchiales","bronchial branches","",""
"N","262693","0","plexus pulmonalis","pulmonary plexus","",""
"N","262701","0","plexus oesophageus","oesophageal plexus","",""
"N","262717","0","truncus vagalis anterior","anterior vagal trunk","",""
"N","262725","0","rr. gastrici anteriores","anterior gastric branches","",""
"N","262730","0","n. curvaturae minoris anterior","anterior nerve of lesser curvature","",""
"N","262749","0","rr. hepatici","hepatic branches","",""
"N","262758","0","r. pyloricus","pyloric branch","",""
"N","262763","0","truncus vagalis posterior","posterior vagal trunk","",""
"N","262774","0","rr. gastrici posteriores","posterior gastric branches","",""
"N","262782","0","n. curvaturae minoris posterior","posterior nerve of lesser curvature","",""
"N","262796","0","rr. coeliaci","coeliac branches","",""
"N","262803","0","rr. renales","renal branches","",""
"N","262816","0","nervus accessorius [XI]","accessory nerve [XI]","",""
"N","262827","0","radix cranialis","cranial root","",""
"N","262834","0","radix spinalis","spinal root","",""
"N","262842","0","truncus nervi accessorii","trunk of accessory nerve","",""
"N","262850","0","r. internus","internal branch","",""
"N","262869","0","r. externus","external branch","",""
"N","262875","0","rr. musculares","muscular branches","",""
"N","262888","0","nervus hypoglossus [XII]","hypoglossal nerve [XII]","",""
"N","262891","0","rr. linguales","lingual branches","",""
"N","262902","0","r. communicans glossopharyngeus","communicating branch with glossopharyngeal nerve","",""
"N","262915","0","nervi spinales","spinal nerves","",""
"N","262928","0","nervi cervicales [C1-C8]","cervical nerves [C1-C8]","",""
"N","262931","0","rami posteriores","posterior rami","",""
"N","262944","0","r. medialis","medial branch","",""
"N","262953","0","r. lateralis","lateral branch","",""
"N","262966","0","r. cutaneus posterior","posterior cutaneous branch","",""
"N","262977","0","n. suboccipitalis","suboccipital nerve","",""
"N","262989","0","n. occipitalis major","greater occipital nerve","",""
"N","262990","0","n. occipitalis tertius","third occipital nerve","",""
"N","263007","0","plexus cervicalis posterior","posterior cervical plexus","",""
"N","263010","0","rami anteriores","anterior rami","",""
"N","263029","0","plexus cervicalis","cervical plexus","",""
"N","263032","0","ansa cervicalis","ansa cervicalis","",""
"N","263041","0","radix superior","superior root","",""
"N","263055","0","radix inferior","inferior root","",""
"N","263064","0","r. thyrohyoideus","thyrohyoid branch","",""
"N","263078","0","n. occipitalis minor","lesser occipital nerve","",""
"N","263086","0","n. auricularis magnus","great auricular nerve","",""
"N","263093","0","r. posterior","posterior branch","",""
"N","263108","0","r. anterior","anterior branch","",""
"N","263119","0","n. transversus colli","transverse cervical nerve","",""
"N","263124","0","rr. superiores","superior branches","",""
"N","263135","0","rr. inferiores","inferior branches","",""
"N","263143","0","nn. supraclaviculares","supraclavicular nerves","",""
"N","263156","0","nn. supraclaviculares mediales","medial supraclavicular nerves","",""
"N","263162","0","nn. supraclaviculares intermedii","intermediate supraclavicular nerves","",""
"N","263170","0","nn. supraclaviculares laterales","lateral supraclavicular nerves","",""
"N","263181","0","nervus phrenicus","phrenic nerve","",""
