#"AnaTermId","ParentId","LatinTerm","EnglishTerm","TA1","TA2","Sex","Type"
"102433","102280","Regio posterior colli","Posterior region of neck","A01.2.02.012","243","B",""
"102440","101760","Regiones thoracis","Regions of thorax","","244","B","G"
"102454","102440","Regio anterior thoracis","Anterior region of thorax","A01.1.00.015","245","B",""
"102465","102454","Precordium","Precordium","","246","B",""
"102479","102454","Regio presternalis","Presternal region","A01.2.03.002","247","B",""
"102487","102454","Fossa infraclavicularis","Infraclavicular fossa","A01.2.03.003","248","B",""
"102498","102454","Trigonum deltopectorale","Deltopectoral triangle","A01.2.03.004","249","B",""
"102501","102454","Sulcus deltopectoralis","Deltopectoral groove","","250","B",""
"102517","102454","Regio pectoralis","Pectoral region","A01.2.03.005","251","B",""
"102525","102517","Regio mammaria","Mammary region","A01.2.03.007","252","B",""
"102530","102517","Regio inframammaria","Inframammary region","A01.2.03.008","253","B",""
"102549","102440","Regio lateralis thoracis","Lateral region of thorax","","254","B",""
"102558","101760","Regiones abdominis","Regions of abdomen","","255","B","G"
"102563","102558","Regio hypochondriaca","Hypochondriac region","A01.2.04.002","256","B",""
"102574","102558","Regio epigastrica","Epigastric region","A01.2.04.003","257","B",""
"102582","102574","Fossa epigastrica","Epigastric fossa","","258","B",""
"102596","102558","Regio lateralis abdominis","Lateral region of abdomen","A01.2.04.004","259","B",""
"102605","102558","Regio umbilicalis","Umbilical region","","260","B",""
"102618","102605","Umbilicus","Umbilicus","A01.2.04.005","261","B",""
"102626","102558","Regio inguinalis","Inguinal region","A01.2.04.006","262","B",""
"102639","102558","Regio hypogastrica","Hypogastric region","A01.2.04.007","263","B",""
"102647","101760","Regiones dorsi","Regions of back","A01.2.05.001","264","B","G"
"102652","102647","Regio vertebralis","Vertebral region","A01.2.05.002","265","B",""
"102660","102647","Regio scapularis","Scapular region","A01.2.05.005","266","B",""
"102671","102647","Trigonum auscultationis","Triangle of auscultation","A01.2.05.006","267","B",""
"102683","102647","Regio infrascapularis","Infrascapular region","A01.2.05.007","268","B",""
"102694","102647","Regio lumbalis","Lumbar region","A01.2.05.008","269","B",""
"102708","102694","Trigonum lumbale","Lumbar triangle","A01.2.05.009","270","B",""
"102719","102694","Trigonum lumbale superius","Superior lumbar triangle","A01.2.05.010","271","B",""
"102724","102647","Regio sacralis","Sacral region","A01.2.05.003","272","B",""
"102735","102724","Foveola sacroiliaca","Sacroiliac dimple","","273","B",""
"102743","102647","Regio coccygea","Coccygeal region","","274","B",""
"102756","102743","Foveola coccygea","Coccygeal foveola","A01.2.05.004","275","B",""
"102762","101760","Regiones perinei","Regions of perineum","A01.2.06.001","276","B","G"
"102770","102762","Regio analis","Anal region","A01.2.06.002","277","B",""
"102781","102770","Trigonum anale","Anal triangle","","278","B",""
"102797","102762","Regio urogenitalis","Urogenital region","A01.2.06.003","279","B",""
"102802","101760","Regiones membri superioris","Regions of upper limb","A01.2.07.001","280","B","G"
"102815","102802","Regio axillaris","Axillary region","A01.2.03.009","281","B",""
"102828","102815","Fossa axillaris","Axillary fossa","A01.2.03.010","282","B",""
"102831","102802","Regio deltoidea","Deltoid region","A01.2.07.002","283","B",""
"102844","102802","Regio brachialis","Brachial region","A01.2.07.003","284","B",""
"102853","102844","Regio anterior brachii","Anterior region of arm","A01.2.07.004","285","B",""
"102866","102853","Sulcus biciptalis lateralis","Lateral bicipital groove","A01.2.07.005","286","B",""
"102877","102853","Sulcus bicipitalis medialis","Medial bicipital groove","A01.2.07.006","287","B",""
"102889","102844","Regio posterior brachii","Posterior region of arm","A01.2.07.007","288","B",""
"102890","102802","Regio cubitalis","Cubital region","A01.2.07.008","289","B",""
"102900","102890","Regio anterior cubiti","Anterior region of elbow","A01.2.07.009","290","B",""
"102913","102900","Fossa cubitalis","Cubital fossa","A01.2.07.010","291","B",""
"102921","102890","Regio posterior cubiti","Posterior region of elbow","A01.2.07.011","292","B",""
"102937","102802","Regio antebrachialis","Antebrachial region","A01.2.07.012","293","B",""
"102945","102937","Regio anterior antebrachii","Anterior region of forearm","A01.2.07.013","294","B",""
"102959","102937","Regio posterior antebrachii","Posterior region of forearm","A01.2.07.014","295","B",""
"102968","102937","Margo lateralis antebrachii","Lateral border of forearm","","296","B",""
"102976","102937","Margo medialis antebrachii","Medial border of forearm","","297","B",""
"102984","102802","Regio carpea","Carpal region","A01.2.07.018","298","B",""
"102992","102984","Regio anterior carpi","Anterior region of wrist","A01.2.07.019","299","B",""
"103006","102984","Regio posterior carpi","Posterior region of wrist","A01.2.07.020","300","B",""
"103011","102984","Foveola radialis","Radial foveola","","301","B",""
"103022","102802","Regiones manus","Regions of hand","A01.2.07.017","302","B",""
"103033","103022","Regio metacarpea","Metacarpal region","A01.2.07.025","303","B",""
"103040","103022","Dorsum manus","Dorsum of hand","A01.2.07.021","304","B",""
"103054","103022","Palma","Palm","A01.2.07.022","305","B",""
"103065","103054","Eminentia thenaris","Thenar eminence","A01.2.07.023","306","B",""
"103079","103054","Eminentia hypothenaris","Hypothenar eminence","A01.2.07.024","307","B",""
"103087","103022","Regiones digitorum manus","Regions of digits of hand","A01.2.07.026","308","B",""
"103098","103087","Facies palmares digitorum manus","Palmar surfaces of digits of hand","A01.2.07.032","309","B",""
"103104","103087","Facies dorsales digitorum manus","Dorsal surfaces of digits of hand","A01.2.07.033","310","B",""
"103112","103087","Spatia interdigitalia manus","Interdigital spaces of hand","","311","B",""
"103120","101760","Regiones membri inferioris","Regions of lower limb","A01.2.08.001","312","B","G"
"103136","103120","Regio glutea","Gluteal region","A01.2.08.002","313","B",""
"103148","103136","Crena interglutea","Intergluteal cleft","A01.2.08.003","314","B",""
"103157","103136","Sulcus gluteus","Gluteal fold","A01.2.08.004","315","B",""
"103161","103120","Regio coxalis","Hip region","A01.2.08.005","316","B",""
"103173","103120","Regio femoralis","Femoral region","A01.2.08.006","317","B",""
"103185","103173","Regio anterior femoris","Anterior region of thigh","A01.2.08.007","318","B",""
"103199","103185","Trigonum femorale","Femoral triangle","A01.2.08.008","319","B",""
"103200","103173","Regio posterior femoris","Posterior region of thigh","A01.2.08.009","320","B",""
"103213","103120","Regio genualis","Knee region","A01.2.08.010","321","B",""
"103221","103213","Regio anterior genus","Anterior region of knee","A01.2.08.011","322","B",""
"103237","103213","Regio posterior genus","Posterior region of knee","A01.2.08.012","323","B",""
"103245","103237","Fossa poplitea","Popliteal fossa","A01.2.08.013","324","B",""
"103259","103120","Regio cruralis","Leg region","A01.2.08.014","325","B",""
"103268","103259","Regio anterior cruris","Anterior region of leg","A01.2.08.015","326","B",""
"103276","103259","Regio posterior cruris","Posterior region of leg","A01.2.08.016","327","B",""
"103284","103276","Regio suralis","Sural region","A01.2.08.017","328","B",""
"103292","103120","Regio talocruralis","Talocrural region","A01.2.08.033","329","B",""
"103305","103292","Regio anterior tali","Anterior region of ankle","A01.2.08.018","330","B",""
"103318","103292","Regio posterior tali","Posterior region of ankle","A01.2.08.019","331","B",""
"103326","103318","Regio retromalleolaris lateralis","Lateral retromalleolar region","A01.2.08.020","332","B",""
"103339","103318","Regio retromalleolaris medialis","Medial retromalleolar region","A01.2.08.021","333","B",""
"103347","103120","Regiones pedis","Regions of foot","A01.2.08.022","334","B",""
"103352","103347","Regio calcanea","Heel region","A01.2.08.023","335","B",""
"103360","103347","Dorsum pedis","Dorsum of foot","A01.2.08.024","336","B",""
"103371","103347","Planta","Sole","A01.2.08.025","337","B",""
"103383","103371","Arcus longitudinalis pedis","Longitudinal arch of foot","A01.2.08.028","338","B",""
"103394","103383","Pars lateralis arcus longitudinalis pedis","Lateral part of longitudinal arch of foot","A01.2.08.029","339","B",""
"103409","103383","Pars medialis arcus longitudinalis pedis","Medial part of longitudinal arch of foot","A01.2.08.030","340","B",""
"103414","103371","Arcus transversus proximalis pedis","Proximal transverse arch of foot","A01.2.08.031","341","B",""
"103423","103371","Arcus transversus distalis pedis","Distal transverse arch of foot","A01.2.08.032","342","B",""
"103438","103347","Margo lateralis pedis","Lateral border of foot","A01.2.08.026","343","B",""
"103446","103347","Margo medialis pedis","Medial border of foot","A01.2.08.027","344","B",""
"103451","103347","Regio metatarsea","Metatarsal region","A01.2.08.034","345","B",""
"103467","103451","Eminentia hallucis","Hallucial eminence","","346","B",""
"103472","103347","Regiones digitorum pedis","Regions of digits of foot","A01.2.08.035","347","B",""
"103480","103472","Facies plantares digitorum pedis","Plantar surfaces of digits of foot","A01.2.08.041","348","B",""
"103495","103472","Facies dorsales digitorum pedis","Dorsal surfaces of digits of foot","A01.2.08.042","349","B",""
"103508","103472","Spatia interdigitalia pedis","Interdigital spaces of foot","","350","B",""
"103519","0","Systemata musculoskeletalia","Musculoskeletal systems","","351","B","G"
"103524","103519","Systema skeletale","Skeletal system","","352","B","G"
"103535","103524","Skeleton axiale","Axial skeleton","A02.0.00.009","353","B","G"
"103543","103535","Neurocranium","Neurocranium","A02.1.00.007","354","B",""
"103556","103535","Viscerocranium","Viscerocranium","A02.1.00.008","355","B",""
"103562","103535","Ossa faciei","Facial bones","","356","B",""
"103570","103535","Chondrocranium","Chondrocranium","A02.1.00.009","357","B",""
"103581","103535","Desmocranium","Desmocranium","A02.1.00.010","358","B",""
"103597","103524","Skeleton appendiculare","Appendicular skeleton","A02.0.00.010","359","B","G"
"103607","103597","Skeleton membrorum superiorum","Skeleton of upper limbs","","360","B",""
"103610","103607","Cingulum pectorale","Pectoral girdle","A01.1.00.020","361","B",""
"103629","103607","Skeleton partis liberae membri superioris","Skeleton of free upper limb","","362","B",""
"103632","103597","Skeleton membrorum inferiorum","Skeleton of lower limbs","","363","B",""
"103641","103632","Cingulum pelvicum","Pelvic girdle","A01.1.00.032","364","B",""
"103655","103632","Skeleton partis liberae membri inferioris","Skeleton of free lower limb","","365","B",""
"103664","103524","Ossa","Bones","A02.0.00.000","366","B","G"
"103678","103664","Os membranaceum","Membranous bone","","367","B",""
"103686","103664","Os endochondrale","Endochondral bone","","368","B",""
"103693","103664","Os longum","Long bone","A02.0.00.011","369","B",""
"103701","103664","Os breve","Short bone","A02.0.00.012","370","B",""
"103717","103664","Os planum","Flat bone","A02.0.00.013","371","B",""
"103725","103664","Os irregulare","Irregular bone","A02.0.00.014","372","B",""
"103730","103664","Os pneumaticum","Pneumatized bone","A02.0.00.015","373","B",""
"103749","103664","Os sesamoideum","Sesamoid bone","A02.0.00.016","374","B",""
"103758","103664","Os accessorium","Accessory bone","","375","B",""
"103763","103664","Os supernumerarium","Supernumerary bone","","376","B",""
"103774","103664","Os","Bone","","377","B","G"
"103782","103774","Pars ossea ossis","Bony part of bone","A02.0.00.001","378","B",""
"103796","103782","Substantia compacta","Compact bone","A02.0.00.003","379","B",""
"103803","103782","Substantia spongiosa","Spongy bone","A02.0.00.004","380","B",""
"103816","103774","Pars cartilaginea ossis","Cartilaginous part of bone","A02.0.00.005","381","B",""
