#"Status","Id","Translation","Synonyms"
"T","105823","Cerebellar fossa",""
"T","105838","Vermian fossa",""
"T","105846","Sphenoid bone","Sphenoid; Sphenoidal bone"
"T","105851","Body of sphenoid bone",""
"T","105867","Sphenoidal yoke",""
"T","105872","Limbus of sphenoid",""
"T","105880","Chiasmatic sulcus","Prechiasmatic sulcus"
"T","105895","Sella turcica",""
"T","105907","Tuberculum sellae",""
"T","105910","Middle clinoid process",""
"T","105929","Hypophysial fossa","Pituitary fossa"
"T","105932","Craniopharyngeal canal",""
"T","105941","Dorsum sellae",""
"T","105955","Posterior clinoid process",""
"T","105964","Carotid sulcus",""
"T","105978","Sphenoidal lingula",""
"T","105986","Sphenoidal crest",""
"T","105993","Sphenoidal rostrum",""
"T","106005","Sinus of sphenoidal bone","Bony sphenoidal sinus"
"T","106018","Opening of sinus of sphenoidal bone",""
"T","106026","Septum of sphenoidal sinuses",""
"T","106039","Sphenoidal concha","Sphenoidal turbinate"
"T","106047","Lesser wing",""
"T","106052","Optic canal","Optic foramen"
"T","106060","Infra-optic tubercle",""
"T","106071","Anterior clinoid process",""
"T","106083","Caroticoclinoid foramen",""
"T","106094","Crista alaris",""
"T","106107","Greater wing",""
"T","106110","Cerebral surface of greater wing",""
"T","106129","Temporal surface of greater wing",""
"T","106132","Infratemporal surface of greater wing",""
